Date : 2026-03-24 21:27:27
Directory : /home/dev/projects/dbnexus
Total : 229 files,  38597 codes, 10124 comments, 8943 blanks, all 57664 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Rust         |        212 |     33,179 |      9,931 |      7,289 |     50,399 |
| Markdown     |          7 |      3,646 |         12 |      1,298 |      4,956 |
| Shell Script |          5 |        980 |        158 |        239 |      1,377 |
| YAML         |          5 |        792 |         23 |        117 |        932 |
+--------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                        |        229 |     38,597 |     10,124 |      8,943 |     57,664 |
| . (Files)                                                                                |          4 |      1,103 |         36 |        396 |      1,535 |
| .github                                                                                  |          3 |        709 |         21 |        114 |        844 |
| .github/workflows                                                                        |          3 |        709 |         21 |        114 |        844 |
| benches                                                                                  |          1 |         69 |          7 |         14 |         90 |
| docs                                                                                     |          4 |      2,422 |          0 |        845 |      3,267 |
| examples                                                                                 |         21 |      3,115 |        710 |        676 |      4,501 |
| examples (Files)                                                                         |          1 |        236 |          0 |         75 |        311 |
| examples/src                                                                             |         20 |      2,879 |        710 |        601 |      4,190 |
| macros                                                                                   |         49 |      1,220 |        462 |        288 |      1,970 |
| macros/src                                                                               |          1 |        607 |        311 |        126 |      1,044 |
| macros/tests                                                                             |         48 |        613 |        151 |        162 |        926 |
| macros/tests (Files)                                                                     |          6 |         89 |        102 |         29 |        220 |
| macros/tests/ui                                                                          |         42 |        524 |         49 |        133 |        706 |
| scripts                                                                                  |          5 |        980 |        158 |        239 |      1,377 |
| src                                                                                      |         53 |     14,372 |      5,187 |      2,836 |     22,395 |
| src (Files)                                                                              |          2 |         91 |        112 |         41 |        244 |
| src/access                                                                               |         18 |      5,337 |      1,872 |      1,058 |      8,267 |
| src/access (Files)                                                                       |          3 |      1,864 |        646 |        325 |      2,835 |
| src/access/authentication                                                                |          4 |        448 |        102 |        131 |        681 |
| src/access/permission                                                                    |          8 |      2,523 |        994 |        486 |      4,003 |
| src/access/security                                                                      |          3 |        502 |        130 |        116 |        748 |
| src/business                                                                             |          2 |      1,312 |        320 |        224 |      1,856 |
| src/database                                                                             |         13 |      4,158 |      1,678 |        760 |      6,596 |
| src/database (Files)                                                                     |          2 |        491 |        109 |        115 |        715 |
| src/database/migration                                                                   |          8 |      2,151 |        638 |        361 |      3,150 |
| src/database/pool                                                                        |          3 |      1,516 |        931 |        284 |      2,731 |
| src/foundation                                                                           |          5 |        647 |        347 |        170 |      1,164 |
| src/foundation (Files)                                                                   |          2 |         10 |         25 |          7 |         42 |
| src/foundation/config                                                                    |          2 |        299 |        145 |         70 |        514 |
| src/foundation/error                                                                     |          1 |        338 |        177 |         93 |        608 |
| src/observability                                                                        |          4 |      1,803 |        601 |        327 |      2,731 |
| src/storage                                                                              |          6 |        423 |        141 |         96 |        660 |
| src/storage (Files)                                                                      |          2 |        211 |         37 |         35 |        283 |
| src/storage/cache                                                                        |          4 |        212 |        104 |         61 |        377 |
| src/tools                                                                                |          3 |        601 |        116 |        160 |        877 |
| src/tools (Files)                                                                        |          2 |         11 |         17 |         11 |         39 |
| src/tools/cli                                                                            |          1 |        590 |         99 |        149 |        838 |
| src/tools/cli/src                                                                        |          1 |        590 |         99 |        149 |        838 |
| tests                                                                                    |         89 |     14,607 |      3,543 |      3,535 |     21,685 |
| tests (Files)                                                                            |          3 |        274 |         95 |         61 |        430 |
| tests/audit                                                                              |          5 |        727 |        193 |        178 |      1,098 |
| tests/audit (Files)                                                                      |          1 |          2 |          7 |          3 |         12 |
| tests/audit/integration                                                                  |          2 |        268 |         25 |         61 |        354 |
| tests/audit/unit                                                                         |          2 |        457 |        161 |        114 |        732 |
| tests/benchmarks                                                                         |          1 |        324 |         18 |         50 |        392 |
| tests/cache                                                                              |          5 |        577 |        238 |        211 |      1,026 |
| tests/cache (Files)                                                                      |          1 |          2 |          7 |          3 |         12 |
| tests/cache/integration                                                                  |          2 |        213 |         46 |         77 |        336 |
| tests/cache/unit                                                                         |          2 |        362 |        185 |        131 |        678 |
| tests/common                                                                             |          2 |        389 |         87 |         64 |        540 |
| tests/concurrency                                                                        |          1 |         23 |         12 |          7 |         42 |
| tests/core                                                                               |         12 |      3,660 |        417 |        693 |      4,770 |
| tests/core (Files)                                                                       |          1 |          2 |          7 |          3 |         12 |
| tests/core/integration                                                                   |          8 |      2,829 |        327 |        535 |      3,691 |
| tests/core/unit                                                                          |          3 |        829 |         83 |        155 |      1,067 |
| tests/cross_cutting                                                                      |          8 |        378 |         82 |         72 |        532 |
| tests/cross_cutting (Files)                                                              |          1 |          4 |          7 |          3 |         14 |
| tests/cross_cutting/benchmarks                                                           |          2 |        130 |         33 |         20 |        183 |
| tests/cross_cutting/cli                                                                  |          2 |        216 |         33 |         39 |        288 |
| tests/cross_cutting/integration                                                          |          3 |         28 |          9 |         10 |         47 |
| tests/di_interop                                                                         |          1 |         20 |         12 |          7 |         39 |
| tests/e2e                                                                                |          1 |        143 |         37 |         55 |        235 |
| tests/entity                                                                             |          3 |        129 |         51 |         37 |        217 |
| tests/entity (Files)                                                                     |          1 |          1 |          7 |          3 |         11 |
| tests/entity/unit                                                                        |          2 |        128 |         44 |         34 |        206 |
| tests/global_index                                                                       |          5 |      1,045 |        206 |        246 |      1,497 |
| tests/global_index (Files)                                                               |          1 |          2 |         13 |          3 |         18 |
| tests/global_index/integration                                                           |          2 |        608 |        132 |        161 |        901 |
| tests/global_index/unit                                                                  |          2 |        435 |         61 |         82 |        578 |
| tests/health                                                                             |          3 |        516 |        256 |        169 |        941 |
| tests/health (Files)                                                                     |          1 |          2 |          8 |          3 |         13 |
| tests/health/unit                                                                        |          2 |        514 |        248 |        166 |        928 |
| tests/macros                                                                             |          2 |         37 |         25 |         11 |         73 |
| tests/macros (Files)                                                                     |          1 |          6 |          0 |          2 |          8 |
| tests/macros/unit                                                                        |          1 |         31 |         25 |          9 |         65 |
| tests/metrics                                                                            |          5 |        743 |        241 |        266 |      1,250 |
| tests/metrics (Files)                                                                    |          1 |          2 |          7 |          3 |         12 |
| tests/metrics/integration                                                                |          2 |        196 |         78 |         71 |        345 |
| tests/metrics/unit                                                                       |          2 |        545 |        156 |        192 |        893 |
| tests/migration                                                                          |          6 |        785 |        111 |        180 |      1,076 |
| tests/migration (Files)                                                                  |          1 |          2 |          7 |          3 |         12 |
| tests/migration/integration                                                              |          3 |        373 |         64 |         88 |        525 |
| tests/migration/unit                                                                     |          2 |        410 |         40 |         89 |        539 |
| tests/permission                                                                         |          8 |      2,208 |        502 |        459 |      3,169 |
| tests/permission (Files)                                                                 |          1 |          2 |          7 |          3 |         12 |
| tests/permission/integration                                                             |          2 |        294 |         55 |         66 |        415 |
| tests/permission/unit                                                                    |          5 |      1,912 |        440 |        390 |      2,742 |
| tests/pool                                                                               |          5 |      1,028 |        331 |        252 |      1,611 |
| tests/pool (Files)                                                                       |          1 |          2 |          7 |          3 |         12 |
| tests/pool/integration                                                                   |          2 |        182 |         22 |         26 |        230 |
| tests/pool/unit                                                                          |          2 |        844 |        302 |        223 |      1,369 |
| tests/security                                                                           |          3 |        274 |         96 |         31 |        401 |
| tests/security (Files)                                                                   |          1 |          1 |          7 |          3 |         11 |
| tests/security/unit                                                                      |          2 |        273 |         89 |         28 |        390 |
| tests/sharding                                                                           |          5 |        743 |        194 |        271 |      1,208 |
| tests/sharding (Files)                                                                   |          1 |          2 |          7 |          3 |         12 |
| tests/sharding/integration                                                               |          2 |        147 |         23 |         51 |        221 |
| tests/sharding/unit                                                                      |          2 |        594 |        164 |        217 |        975 |
| tests/tracing                                                                            |          5 |        584 |        339 |        215 |      1,138 |
| tests/tracing (Files)                                                                    |          1 |          2 |          7 |          3 |         12 |
| tests/tracing/integration                                                                |          2 |        299 |        137 |         90 |        526 |
| tests/tracing/unit                                                                       |          2 |        283 |        195 |        122 |        600 |
+------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                 | language     | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| /home/dev/projects/dbnexus/.github/workflows/ci.yml                                      | YAML         |        328 |         11 |         50 |        389 |
| /home/dev/projects/dbnexus/.github/workflows/release.yml                                 | YAML         |        287 |          9 |         51 |        347 |
| /home/dev/projects/dbnexus/.github/workflows/tag-deleted.yml                             | YAML         |         94 |          1 |         13 |        108 |
| /home/dev/projects/dbnexus/.pre-commit-config.yaml                                       | YAML         |         21 |          2 |          2 |         25 |
| /home/dev/projects/dbnexus/README.md                                                     | Markdown     |        504 |          6 |        195 |        705 |
| /home/dev/projects/dbnexus/README_zh.md                                                  | Markdown     |        484 |          6 |        183 |        673 |
| /home/dev/projects/dbnexus/benches/permission_bench.rs                                   | Rust         |         69 |          7 |         14 |         90 |
| /home/dev/projects/dbnexus/build.rs                                                      | Rust         |         94 |         22 |         16 |        132 |
| /home/dev/projects/dbnexus/docs/API_REFERENCE.md                                         | Markdown     |        692 |          0 |        275 |        967 |
| /home/dev/projects/dbnexus/docs/ARCHITECTURE.md                                          | Markdown     |        712 |          0 |        218 |        930 |
| /home/dev/projects/dbnexus/docs/CHANGELOG.md                                             | Markdown     |        156 |          0 |         64 |        220 |
| /home/dev/projects/dbnexus/docs/USER_GUIDE.md                                            | Markdown     |        862 |          0 |        288 |      1,150 |
| /home/dev/projects/dbnexus/examples/README.md                                            | Markdown     |        236 |          0 |         75 |        311 |
| /home/dev/projects/dbnexus/examples/src/audit.rs                                         | Rust         |        210 |         40 |         35 |        285 |
| /home/dev/projects/dbnexus/examples/src/authenticated_usage.rs                           | Rust         |        130 |         58 |         39 |        227 |
| /home/dev/projects/dbnexus/examples/src/cache.rs                                         | Rust         |        114 |         35 |         29 |        178 |
| /home/dev/projects/dbnexus/examples/src/config.rs                                        | Rust         |         40 |         19 |         11 |         70 |
| /home/dev/projects/dbnexus/examples/src/entity_basic.rs                                  | Rust         |        101 |         40 |         21 |        162 |
